Date(GMT),Latitude,Longitude,Speed(km/h)
02/10/2024 10:22,51.37714,-2.436763,0
02/10/2024 10:23,51.377176,-2.436616,4.545075678
02/10/2024 10:23,51.377165,-2.436465,3.841952741
02/10/2024 10:23,51.377087,-2.436361,4.609133509
02/10/2024 10:23,51.376987,-2.43634,5.139011012
02/10/2024 10:23,51.376888,-2.436342,4.086877599
02/10/2024 10:23,51.376785,-2.436336,4.385737552
02/10/2024 10:23,51.376694,-2.436288,3.969997901
02/10/2024 10:24,51.376595,-2.436315,5.053249293
02/10/2024 10:24,51.376505,-2.436325,3.544491456
02/10/2024 10:24,51.37641,-2.436352,4.208698774
02/10/2024 10:24,51.376318,-2.436386,4.553464465
02/10/2024 10:24,51.376229,-2.436428,4.532241388
02/10/2024 10:24,51.376145,-2.436486,5.000719906
02/10/2024 10:24,51.376057,-2.436552,4.976360091
02/10/2024 10:25,51.376041,-2.4367,7.954801546
02/10/2024 10:25,51.376074,-2.436837,5.307789839
02/10/2024 10:25,51.376026,-2.436968,5.127222965
02/10/2024 10:25,51.37605,-2.437114,4.288234989
02/10/2024 10:25,51.376071,-2.437263,3.115100936
02/10/2024 10:26,51.376137,-2.437381,6.384167418
02/10/2024 10:26,51.37619,-2.437506,2.496254686
02/10/2024 10:26,51.37628,-2.437596,4.913807578
02/10/2024 10:26,51.376353,-2.437689,5.472917744
02/10/2024 10:26,51.376437,-2.437778,4.764591312
02/10/2024 10:26,51.376523,-2.437836,5.039276565
02/10/2024 10:26,51.376615,-2.437867,5.608956406
02/10/2024 10:27,51.376708,-2.437849,2.743251431
02/10/2024 10:27,51.3768,-2.43781,4.63957896
02/10/2024 10:27,51.376897,-2.4378,4.695969056
02/10/2024 10:27,51.376994,-2.437853,4.485032222
02/10/2024 10:27,51.377091,-2.437839,4.565305482
02/10/2024 10:27,51.377179,-2.437758,6.069379667
02/10/2024 10:27,51.377266,-2.437711,6.033270595
02/10/2024 10:28,51.377344,-2.437629,5.859357977
02/10/2024 10:28,51.377423,-2.437541,5.729241562
02/10/2024 10:28,51.377485,-2.437414,5.47989693
02/10/2024 10:28,51.377528,-2.437272,5.740775448
02/10/2024 10:28,51.377511,-2.437116,5.189768613
02/10/2024 10:28,51.377487,-2.436977,5.708614741
02/10/2024 10:28,51.377479,-2.436828,5.431729715
02/10/2024 10:28,51.377456,-2.436688,5.672130558
02/10/2024 10:29,51.377425,-2.43655,5.740510156
02/10/2024 10:29,51.377364,-2.436432,5.726560926
02/10/2024 10:29,51.377276,-2.436399,5.547879998
02/10/2024 10:29,51.377183,-2.436408,6.428924276
02/10/2024 10:29,51.377115,-2.436534,6.270953707
02/10/2024 10:29,51.377129,-2.436686,2.617971213
02/10/2024 10:30,51.377158,-2.436834,1.556918923
02/10/2024 10:30,51.377192,-2.436795,0.837808192
