time,Longitude,Latitude,Speed (km/h)
02/10/2024 11:22,-2.436533,51.377178,7.0
02/10/2024 11:22,-2.436522,51.377174,3.1
02/10/2024 11:22,-2.436523,51.377166,3.4
02/10/2024 11:22,-2.436534,51.37717,3.1
02/10/2024 11:22,-2.43654,51.377169,1.4
02/10/2024 11:22,-2.436546,51.37717,1.7
02/10/2024 11:22,-2.436554,51.377169,1.9
02/10/2024 11:22,-2.436575,51.377162,6.1
02/10/2024 11:22,-2.436577,51.377163,0.7
02/10/2024 11:22,-2.436572,51.377163,1.2
02/10/2024 11:22,-2.436572,51.377159,1.8
02/10/2024 11:22,-2.436565,51.377154,2.5
02/10/2024 11:22,-2.436576,51.377148,3.7
02/10/2024 11:22,-2.436583,51.377143,2.5
02/10/2024 11:22,-2.436593,51.377138,3.2
02/10/2024 11:22,-2.436606,51.377131,4.4
02/10/2024 11:22,-2.436615,51.377128,2.6
02/10/2024 11:22,-2.43662,51.377127,1.5
02/10/2024 11:22,-2.436633,51.377128,3.2
02/10/2024 11:22,-2.436637,51.377128,0.9
02/10/2024 11:22,-2.436639,51.377126,0.7
02/10/2024 11:22,-2.436643,51.377128,1.4
02/10/2024 11:22,-2.436645,51.377129,0.7
02/10/2024 11:22,-2.436651,51.377127,1.7
02/10/2024 11:22,-2.436654,51.377126,1
02/10/2024 11:22,-2.436651,51.377122,1.6
02/10/2024 11:22,-2.436644,51.377118,2.4
02/10/2024 11:22,-2.436639,51.377117,1.4
02/10/2024 11:22,-2.436624,51.377115,4
02/10/2024 11:22,-2.43661,51.377114,3.4
02/10/2024 11:22,-2.436604,51.377116,1.7
02/10/2024 11:22,-2.4366,51.377117,1.1
02/10/2024 11:22,-2.436603,51.377118,0.6
02/10/2024 11:22,-2.436598,51.377118,1.3
02/10/2024 11:22,-2.436599,51.37712,0.8
02/10/2024 11:22,-2.436597,51.377122,0.8
02/10/2024 11:22,-2.436594,51.377121,1
02/10/2024 11:22,-2.43659,51.377119,1.2
02/10/2024 11:22,-2.436588,51.377118,0.5
02/10/2024 11:22,-2.436576,51.377118,3.2
02/10/2024 11:22,-2.436564,51.377118,2.8
02/10/2024 11:23,-2.436553,51.377118,2.8
02/10/2024 11:23,-2.436543,51.377118,2.6
02/10/2024 11:23,-2.436535,51.377118,2.1
02/10/2024 11:23,-2.436528,51.377113,2.5
02/10/2024 11:23,-2.436525,51.377111,1.2
02/10/2024 11:23,-2.436516,51.377109,2.4
02/10/2024 11:23,-2.436499,51.377108,4.3
02/10/2024 11:23,-2.436481,51.377107,4.3
02/10/2024 11:23,-2.436465,51.377106,4.1
02/10/2024 11:23,-2.436451,51.377106,3.6
02/10/2024 11:23,-2.436438,51.377106,3.3
02/10/2024 11:23,-2.436424,51.377105,3.3
02/10/2024 11:23,-2.436411,51.377107,3.5
02/10/2024 11:23,-2.436397,51.377107,3.4
02/10/2024 11:23,-2.436383,51.377104,3.8
02/10/2024 11:23,-2.436371,51.377098,3.6
02/10/2024 11:23,-2.436357,51.377092,4.3
02/10/2024 11:23,-2.436347,51.377085,3.7
02/10/2024 11:23,-2.43634,51.377077,3.7
02/10/2024 11:23,-2.436333,51.377068,4.2
