time,Latitude,Longitude,Altitude (m),Speed (km/h),Total distance (km),Target
2024-10-15 09:18:17,51.505062,-2.54325,110.4,0,0,3
2024-10-15 09:18:18,51.50511,-2.542931,110.7,82,0.023,3
2024-10-15 09:18:19,51.505165,-2.542615,110.9,81.7,0.045,3
2024-10-15 09:18:20,51.505226,-2.542296,110.9,83,0.069,3
2024-10-15 09:18:21,51.505287,-2.541979,110.9,82.8,0.092,3
2024-10-15 09:18:22,51.505352,-2.541668,110.7,81.5,0.114,3
2024-10-15 09:18:23,51.50541,-2.541368,110.5,78.6,0.136,3
2024-10-15 09:18:24,51.505474,-2.541065,110.1,79.7,0.158,3
2024-10-15 09:18:25,51.50554,-2.540767,109.7,78.4,0.18,3
2024-10-15 09:18:26,51.505604,-2.540477,109.1,76.8,0.201,3
2024-10-15 09:18:27,51.505665,-2.540207,108.5,71.9,0.221,3
2024-10-15 09:18:28,51.50573,-2.539942,107.8,70.5,0.241,3
2024-10-15 09:18:29,51.505787,-2.539686,107.2,68.2,0.26,3
2024-10-15 09:18:30,51.50584,-2.539445,106.5,63.8,0.277,3
2024-10-15 09:18:31,51.50589,-2.539224,105.8,58.3,0.294,3
2024-10-15 09:18:32,51.50593,-2.539018,105.1,54.1,0.309,3
2024-10-15 09:18:33,51.505966,-2.538843,104.5,45.6,0.321,3
2024-10-15 09:18:34,51.505993,-2.538701,104.1,37,0.332,3
2024-10-15 09:18:35,51.506012,-2.538593,103.7,28,0.339,3
2024-10-15 09:18:36,51.506027,-2.538523,103.5,18,0.344,3
2024-10-15 09:18:37,51.506035,-2.538477,103.4,12.1,0.348,3
2024-10-15 09:18:38,51.506042,-2.538427,103.3,12.9,0.351,3
2024-10-15 09:18:39,51.506058,-2.538354,103.1,19,0.357,3
2024-10-15 09:18:40,51.506077,-2.53825,102.7,27,0.364,3
2024-10-15 09:18:41,51.506096,-2.538115,102.3,34.6,0.374,3
2024-10-15 09:18:42,51.50612,-2.537953,101.7,41.7,0.385,3
2024-10-15 09:18:43,51.50615,-2.537757,101.2,50,0.399,3
2024-10-15 09:18:44,51.50618,-2.537534,100.5,56.8,0.415,3
2024-10-15 09:18:45,51.50621,-2.537292,99.8,61.4,0.432,3
2024-10-15 09:18:46,51.50624,-2.537034,99.2,65.6,0.45,3
2024-10-15 09:18:47,51.50627,-2.536756,98.6,70.5,0.47,3
2024-10-15 09:18:48,51.50631,-2.536449,98,77.6,0.491,3
2024-10-15 09:18:49,51.50634,-2.536136,97.4,79.1,0.513,3
2024-10-15 09:18:50,51.506367,-2.535811,96.9,81.8,0.536,3
2024-10-15 09:18:51,51.506382,-2.535465,96.3,86.4,0.56,3
2024-10-15 09:18:52,51.50639,-2.535106,95.8,89.6,0.585,3
2024-10-15 09:18:53,51.506393,-2.534741,95.4,91,0.61,3
2024-10-15 09:18:54,51.50639,-2.534374,95.1,91.5,0.636,3
2024-10-15 09:18:55,51.506374,-2.534007,94.7,91.5,0.661,3
2024-10-15 09:18:56,51.50636,-2.533638,94.5,92.2,0.687,3
2024-10-15 09:18:57,51.50634,-2.533276,94.3,90.4,0.712,3
2024-10-15 09:18:58,51.506317,-2.532926,94.2,87.6,0.736,3
2024-10-15 09:18:59,51.506294,-2.532576,94,87.6,0.761,3
2024-10-15 09:19:00,51.506268,-2.532229,93.8,87.2,0.785,3
2024-10-15 09:19:01,51.506233,-2.531897,93.7,83.7,0.808,3
2024-10-15 09:19:02,51.5062,-2.531584,93.5,79.3,0.83,3
2024-10-15 09:19:03,51.506165,-2.531293,93.3,73.9,0.851,3
2024-10-15 09:19:04,51.506126,-2.53102,93.2,69.6,0.87,3
2024-10-15 09:19:05,51.50609,-2.530766,93.1,65,0.888,3
2024-10-15 09:19:06,51.50605,-2.530535,93,59.4,0.904,3
2024-10-15 09:19:07,51.506016,-2.530317,92.8,56.5,0.92,3
2024-10-15 09:19:08,51.505978,-2.530119,92.6,51.3,0.934,3
2024-10-15 09:19:09,51.505943,-2.529938,92.5,47.1,0.947,3
2024-10-15 09:19:10,51.505917,-2.529778,92.4,41.7,0.959,3
2024-10-15 09:19:11,51.505886,-2.529634,92.3,37.6,0.97,3
2024-10-15 09:19:12,51.50586,-2.529503,92.2,34.4,0.979,3
2024-10-15 09:19:13,51.505833,-2.529386,92.2,31,0.988,3
2024-10-15 09:19:14,51.50581,-2.529276,92.1,29.1,0.996,3
2024-10-15 09:19:15,51.505787,-2.529159,92.1,30.5,1.004,3
2024-10-15 09:19:16,51.50576,-2.529026,92,34.3,1.014,3
2024-10-15 09:19:17,51.50575,-2.528883,92,36.3,1.024,3
2024-10-15 09:19:18,51.50574,-2.528729,91.9,38.4,1.035,3
2024-10-15 09:19:19,51.50575,-2.528569,91.8,39.9,1.046,3
2024-10-15 09:19:20,51.505764,-2.528403,91.6,41.9,1.057,3
2024-10-15 09:19:21,51.505783,-2.528234,91.5,42.8,1.069,3
2024-10-15 09:19:22,51.505806,-2.528071,91.4,41.4,1.081,3
2024-10-15 09:19:23,51.505825,-2.527903,91.3,42.9,1.093,3
2024-10-15 09:19:24,51.50584,-2.527728,91.2,43.9,1.105,3
2024-10-15 09:19:25,51.505844,-2.527549,91.2,44.7,1.117,3
2024-10-15 09:19:26,51.50583,-2.527367,91.2,45.7,1.13,3
2024-10-15 09:19:27,51.505795,-2.52719,91.2,46.1,1.143,3
2024-10-15 09:19:28,51.50575,-2.527015,91,47.2,1.156,3
2024-10-15 09:19:29,51.50569,-2.526853,91,46.1,1.169,3
2024-10-15 09:19:30,51.505623,-2.526705,91,46.1,1.181,3
2024-10-15 09:19:31,51.505543,-2.526575,90.6,46.1,1.194,3
2024-10-15 09:19:32,51.50545,-2.526453,90.5,47.4,1.207,3
2024-10-15 09:19:33,51.505352,-2.526343,90.6,48.2,1.221,3
2024-10-15 09:19:34,51.50525,-2.526249,90.8,47.1,1.234,3
2024-10-15 09:19:35,51.505146,-2.52614,90.9,49.4,1.248,3
2024-10-15 09:19:36,51.50505,-2.526001,91,51.6,1.262,3
2024-10-15 09:19:37,51.50497,-2.525834,91.3,53.2,1.277,3
2024-10-15 09:19:38,51.504898,-2.52565,91.7,53.9,1.292,3
2024-10-15 09:19:39,51.504833,-2.525444,92,57.1,1.308,3
2024-10-15 09:19:40,51.50478,-2.525211,92.5,62.1,1.325,3
2024-10-15 09:19:41,51.504734,-2.524959,92.8,65.6,1.343,3
2024-10-15 09:19:42,51.504692,-2.524692,93.2,68.6,1.362,3
2024-10-15 09:19:43,51.504646,-2.524416,93.5,70.9,1.382,3
2024-10-15 09:19:44,51.504604,-2.524131,93.8,73.1,1.402,3
2024-10-15 09:19:45,51.50456,-2.523833,94,76.4,1.423,3
2024-10-15 09:19:46,51.504517,-2.523544,94.2,74.2,1.444,3
2024-10-15 09:19:47,51.504475,-2.523255,94.3,73.8,1.464,3
2024-10-15 09:19:48,51.504436,-2.522962,94.4,74.7,1.485,3
2024-10-15 09:19:49,51.504402,-2.52266,94.5,76.5,1.506,3
2024-10-15 09:19:50,51.50436,-2.522364,94.4,75.5,1.527,3
2024-10-15 09:19:51,51.50432,-2.522068,94.3,75.5,1.548,3
2024-10-15 09:19:52,51.504276,-2.521772,94.2,76,1.569,3
2024-10-15 09:19:53,51.50423,-2.521477,94,75.6,1.59,3
2024-10-15 09:19:54,51.504185,-2.521187,93.9,74.5,1.611,3
2024-10-15 09:19:55,51.504143,-2.520892,93.8,75.5,1.632,3
2024-10-15 09:19:56,51.504097,-2.520591,93.7,77.2,1.654,3
2024-10-15 09:19:57,51.504047,-2.520279,93.7,80,1.676,3
2024-10-15 09:19:58,51.504,-2.519968,93.7,79.6,1.698,3
2024-10-15 09:19:59,51.503956,-2.51965,93.8,81.6,1.721,3
2024-10-15 09:20:00,51.503902,-2.519335,93.9,81,1.743,3
2024-10-15 09:20:01,51.503857,-2.519029,93.9,78.8,1.765,3
2024-10-15 09:20:02,51.50381,-2.518741,94,74.1,1.786,3
2024-10-15 09:20:03,51.50376,-2.518455,94,73.7,1.806,3
2024-10-15 09:20:04,51.503716,-2.518177,93.9,71.7,1.826,3
2024-10-15 09:20:05,51.50367,-2.517905,93.9,70.2,1.845,3
2024-10-15 09:20:06,51.503628,-2.517643,93.7,67.7,1.864,3
2024-10-15 09:20:07,51.503586,-2.517387,93.6,65.9,1.883,3
2024-10-15 09:20:08,51.503544,-2.517129,93.4,66.4,1.901,3
2024-10-15 09:20:09,51.503506,-2.516874,93.3,65.2,1.919,3
2024-10-15 09:20:10,51.50347,-2.516623,93.1,64.1,1.937,3
2024-10-15 09:20:11,51.503433,-2.516373,93,64.3,1.955,3
2024-10-15 09:20:12,51.50339,-2.516121,92.9,65,1.973,3
2024-10-15 09:20:13,51.503345,-2.515866,92.6,65.8,1.991,3
2024-10-15 09:20:14,51.503304,-2.515614,92.5,65.3,2.009,3
2024-10-15 09:20:15,51.50326,-2.515362,92.3,64.9,2.027,3
2024-10-15 09:20:16,51.50322,-2.515108,92,65.6,2.045,3
2024-10-15 09:20:17,51.503174,-2.514854,91.8,65.5,2.064,3
2024-10-15 09:20:18,51.503128,-2.514606,91.6,64.4,2.082,3
2024-10-15 09:20:19,51.503082,-2.514361,91.3,63.9,2.099,3
2024-10-15 09:20:20,51.503036,-2.514114,91.1,64.1,2.117,3
2024-10-15 09:20:21,51.502987,-2.513862,90.9,65.8,2.135,3
2024-10-15 09:20:22,51.502937,-2.513624,90.8,62.4,2.153,3
2024-10-15 09:20:23,51.502888,-2.513384,90.7,63.1,2.17,3
2024-10-15 09:20:24,51.50284,-2.513145,90.4,62.8,2.188,3
2024-10-15 09:20:25,51.50279,-2.512912,90.4,61.6,2.205,3
